game_id,home_team,away_team,away_target,home_target,spread_line,total_line,away_score,home_score,spread,total,predicted,season,week
2020_10_CIN_PIT,PIT,CIN,19.5,26.0,6.5,45.5,10.0,36.0,26.0,46.0,6.6472287,2020,10
2020_10_DEN_LV,LV,DEN,23.5,27.0,3.5,50.5,12.0,37.0,25.0,49.0,5.8111973,2020,10
2020_10_HOU_CLE,CLE,HOU,20.75,25.25,4.5,46.0,7.0,10.0,3.0,17.0,-4.701213,2020,10
2020_10_IND_TEN,TEN,IND,25.0,24.0,-1.0,49.0,34.0,17.0,-17.0,51.0,6.341655,2020,10
2020_10_JAX_GB,GB,JAX,16.75,30.25,13.5,47.0,20.0,24.0,4.0,44.0,16.032745,2020,10
2020_10_LAC_MIA,MIA,LAC,23.75,24.75,1.0,48.5,21.0,29.0,8.0,50.0,7.94071,2020,10
2020_10_MIN_CHI,CHI,MIN,23.75,20.25,-3.5,44.0,19.0,13.0,-6.0,32.0,-0.24566126,2020,10
2020_10_PHI_NYG,NYG,PHI,24.75,20.25,-4.5,45.0,17.0,27.0,10.0,44.0,-1.2066679,2020,10
2020_10_SEA_LA,LA,SEA,26.0,29.0,3.0,55.0,16.0,23.0,7.0,39.0,-0.6693289,2020,10
2020_10_SF_NO,NO,SF,20.0,29.5,9.5,49.5,13.0,27.0,14.0,40.0,3.8331647,2020,10
2020_10_TB_CAR,CAR,TB,27.75,21.75,-6.0,49.5,46.0,23.0,-23.0,69.0,-6.465271,2020,10
2020_10_WAS_DET,DET,WAS,21.75,24.25,2.5,46.0,27.0,30.0,3.0,57.0,-1.3100023,2020,10
2020_11_ARI_SEA,SEA,ARI,26.75,29.75,3.0,56.5,21.0,28.0,7.0,49.0,2.2111545,2020,11
2020_11_ATL_NO,NO,ATL,23.0,26.5,3.5,49.5,9.0,24.0,15.0,33.0,4.3633623,2020,11
2020_11_CIN_WAS,WAS,CIN,23.0,25.0,2.0,48.0,9.0,20.0,11.0,29.0,-0.69640756,2020,11
2020_11_DAL_MIN,MIN,DAL,21.5,28.5,7.0,50.0,31.0,28.0,-3.0,59.0,4.7531066,2020,11
2020_11_DET_CAR,CAR,DET,25.0,22.0,-3.0,47.0,0.0,20.0,20.0,20.0,3.4943776,2020,11
2020_11_GB_IND,IND,GB,25.25,26.75,1.5,52.0,31.0,34.0,3.0,65.0,-0.6314676,2020,11
2020_11_KC_LV,LV,KC,32.0,24.5,-7.5,56.5,35.0,31.0,-4.0,66.0,-5.019272,2020,11
2020_11_LA_TB,TB,LA,21.75,25.75,4.0,47.5,27.0,24.0,-3.0,51.0,1.3075635,2020,11
2020_11_MIA_DEN,DEN,MIA,25.0,21.0,-4.0,46.0,13.0,20.0,7.0,33.0,-4.2681274,2020,11
2020_11_NE_HOU,HOU,NE,26.0,23.5,-2.5,49.5,20.0,27.0,7.0,47.0,-1.3680768,2020,11
2020_11_NYJ_LAC,LAC,NYJ,18.5,28.5,10.0,47.0,28.0,34.0,6.0,62.0,2.6513019,2020,11
2020_11_PHI_CLE,CLE,PHI,21.5,24.0,2.5,45.5,17.0,22.0,5.0,39.0,1.8615645,2020,11
2020_11_PIT_JAX,JAX,PIT,29.0,18.0,-11.0,47.0,27.0,3.0,-24.0,30.0,-8.4381275,2020,11
2020_11_TEN_BAL,BAL,TEN,22.25,28.25,6.0,50.5,30.0,24.0,-6.0,54.0,4.21774,2020,11
2020_12_ARI_NE,NE,ARI,26.0,25.0,-1.0,51.0,17.0,20.0,3.0,37.0,-0.49877596,2020,12
2020_12_BAL_PIT,PIT,BAL,15.5,26.0,10.5,41.5,14.0,19.0,5.0,33.0,2.0395145,2020,12
2020_12_CAR_MIN,MIN,CAR,23.5,26.5,3.0,50.0,27.0,28.0,1.0,55.0,4.93839,2020,12
2020_12_CHI_GB,GB,CHI,18.25,25.75,7.5,44.0,25.0,41.0,16.0,66.0,9.962947,2020,12
2020_12_CLE_JAX,JAX,CLE,28.0,20.5,-7.5,48.5,27.0,25.0,-2.0,52.0,-0.28167176,2020,12
2020_12_HOU_DET,DET,HOU,27.75,24.75,-3.0,52.5,41.0,25.0,-16.0,66.0,-1.9562936,2020,12
2020_12_KC_TB,TB,KC,29.75,26.25,-3.5,56.0,27.0,24.0,-3.0,51.0,-1.3464246,2020,12
2020_12_LAC_BUF,BUF,LAC,23.25,27.75,4.5,51.0,17.0,27.0,10.0,44.0,9.840523,2020,12
2020_12_LV_ATL,ATL,LV,28.25,24.75,-3.5,53.0,6.0,43.0,37.0,49.0,2.2483919,2020,12
2020_12_MIA_NYJ,NYJ,MIA,26.75,19.25,-7.5,46.0,20.0,3.0,-17.0,23.0,-4.2144094,2020,12
2020_12_NO_DEN,DEN,NO,26.75,9.75,-17.0,36.5,31.0,3.0,-28.0,34.0,-8.452531,2020,12
2020_12_NYG_CIN,CIN,NYG,25.75,19.25,-6.5,45.0,19.0,17.0,-2.0,36.0,-0.94736767,2020,12
2020_12_SEA_PHI,PHI,SEA,28.25,21.75,-6.5,50.0,23.0,17.0,-6.0,40.0,-6.5303125,2020,12
2020_12_SF_LA,LA,SF,19.75,24.75,5.0,44.5,23.0,20.0,-3.0,43.0,1.6276251,2020,12
2020_12_TEN_IND,IND,TEN,24.25,27.25,3.0,51.5,45.0,26.0,-19.0,71.0,2.7460613,2020,12
2020_12_WAS_DAL,DAL,WAS,21.75,24.25,2.5,46.0,41.0,16.0,-25.0,57.0,0.59638786,2020,12
2020_13_BUF_SF,SF,BUF,23.25,24.75,1.5,48.0,34.0,24.0,-10.0,58.0,1.8030678,2020,13
2020_13_CIN_MIA,MIA,CIN,16.25,26.75,10.5,43.0,7.0,19.0,12.0,26.0,8.341915,2020,13
2020_13_CLE_TEN,TEN,CLE,25.0,29.0,4.0,54.0,41.0,35.0,-6.0,76.0,12.722079,2020,13
2020_13_DAL_BAL,BAL,DAL,18.75,27.25,8.5,46.0,17.0,34.0,17.0,51.0,7.7072163,2020,13
2020_13_DEN_KC,KC,DEN,19.0,32.0,13.0,51.0,16.0,22.0,6.0,38.0,12.207498,2020,13
2020_13_DET_CHI,CHI,DET,20.5,23.5,3.0,44.0,34.0,30.0,-4.0,64.0,4.661603,2020,13
2020_13_IND_HOU,HOU,IND,26.75,23.25,-3.5,50.0,26.0,20.0,-6.0,46.0,0.8215866,2020,13
2020_13_JAX_MIN,MIN,JAX,20.25,30.75,10.5,51.0,24.0,27.0,3.0,51.0,9.751873,2020,13
2020_13_LA_ARI,ARI,LA,25.75,23.25,-2.5,49.0,38.0,28.0,-10.0,66.0,1.5560673,2020,13
2020_13_LV_NYJ,NYJ,LV,27.75,20.25,-7.5,48.0,31.0,28.0,-3.0,59.0,-9.789241,2020,13
2020_13_NE_LAC,LAC,NE,22.25,24.75,2.5,47.0,45.0,0.0,-45.0,45.0,-4.4657965,2020,13
2020_13_NO_ATL,ATL,NO,24.25,21.75,-2.5,46.0,21.0,16.0,-5.0,37.0,-4.2848687,2020,13
2020_13_NYG_SEA,SEA,NYG,18.75,29.75,11.0,48.5,17.0,12.0,-5.0,29.0,6.9960394,2020,13
2020_13_PHI_GB,GB,PHI,21.0,29.0,8.0,50.0,16.0,30.0,14.0,46.0,13.470915,2020,13
2020_13_WAS_PIT,PIT,WAS,19.0,24.5,5.5,43.5,23.0,17.0,-6.0,40.0,11.269472,2020,13
2020_14_ARI_NYG,NYG,ARI,25.0,22.0,-3.0,47.0,26.0,7.0,-19.0,33.0,0.81766105,2020,14
2020_14_ATL_LAC,LAC,ATL,24.0,25.0,1.0,49.0,17.0,20.0,3.0,37.0,-8.00948,2020,14
2020_14_BAL_CLE,CLE,BAL,24.25,21.25,-3.0,45.5,47.0,42.0,-5.0,89.0,-1.6036439,2020,14
2020_14_DAL_CIN,CIN,DAL,23.5,20.5,-3.0,44.0,30.0,7.0,-23.0,37.0,-1.6167812,2020,14
2020_14_DEN_CAR,CAR,DEN,21.0,25.0,4.0,46.0,32.0,27.0,-5.0,59.0,1.4856339,2020,14
2020_14_GB_DET,DET,GB,32.5,23.0,-9.5,55.5,31.0,24.0,-7.0,55.0,-3.2426028,2020,14
2020_14_HOU_CHI,CHI,HOU,23.5,22.5,-1.0,46.0,7.0,36.0,29.0,43.0,1.1240449,2020,14
2020_14_IND_LV,LV,IND,27.0,24.5,-2.5,51.5,44.0,27.0,-17.0,71.0,2.6650078,2020,14
2020_14_KC_MIA,MIA,KC,29.5,22.0,-7.5,51.5,33.0,27.0,-6.0,60.0,-3.690483,2020,14
2020_14_MIN_TB,TB,MIN,22.75,29.75,7.0,52.5,14.0,26.0,12.0,40.0,9.376888,2020,14
2020_14_NE_LA,LA,NE,19.25,24.25,5.0,43.5,3.0,24.0,21.0,27.0,1.6611551,2020,14
2020_14_NO_PHI,PHI,NO,25.25,17.75,-7.5,43.0,21.0,24.0,3.0,45.0,-10.741388,2020,14
2020_14_NYJ_SEA,SEA,NYJ,16.5,33.0,16.5,49.5,3.0,40.0,37.0,43.0,15.072692,2020,14
2020_14_PIT_BUF,BUF,PIT,23.25,25.25,2.0,48.5,15.0,26.0,11.0,41.0,4.084143,2020,14
2020_14_TEN_JAX,JAX,TEN,30.25,22.75,-7.5,53.0,31.0,10.0,-21.0,41.0,-10.369298,2020,14
2020_14_WAS_SF,SF,WAS,20.25,23.25,3.0,43.5,23.0,15.0,-8.0,38.0,5.7852697,2020,14
2020_15_BUF_DEN,DEN,BUF,27.25,21.75,-5.5,49.0,48.0,19.0,-29.0,67.0,-1.5104008,2020,15
2020_15_CAR_GB,GB,CAR,21.75,31.25,9.5,53.0,16.0,24.0,8.0,40.0,4.1722555,2020,15
2020_15_CHI_MIN,MIN,CHI,22.5,25.0,2.5,47.5,33.0,27.0,-6.0,60.0,2.4984877,2020,15
2020_15_CLE_NYG,NYG,CLE,25.25,19.25,-6.0,44.5,20.0,6.0,-14.0,26.0,0.8484504,2020,15
2020_15_DET_TEN,TEN,DET,22.5,32.0,9.5,54.5,25.0,46.0,21.0,71.0,11.769185,2020,15
2020_15_HOU_IND,IND,HOU,22.5,30.0,7.5,52.5,20.0,27.0,7.0,47.0,6.728031,2020,15
2020_15_JAX_BAL,BAL,JAX,18.25,31.25,13.0,49.5,14.0,40.0,26.0,54.0,14.779411,2020,15
2020_15_KC_NO,NO,KC,28.0,25.5,-2.5,53.5,32.0,29.0,-3.0,61.0,5.1027546,2020,15
2020_15_LAC_LV,LV,LAC,24.25,27.75,3.5,52.0,30.0,27.0,-3.0,57.0,6.956426,2020,15
2020_15_NE_MIA,MIA,NE,20.75,19.25,-1.5,40.0,12.0,22.0,10.0,34.0,-0.16033411,2020,15
2020_15_NYJ_LA,LA,NYJ,13.5,31.0,17.5,44.5,23.0,20.0,-3.0,43.0,10.407749,2020,15
